■エネルギーコース　担当教員一覧													※技術経営専門職学位過程は「担当系」のみに入力																																												
																																																									
NO	管理サイト		職種		教員名								主担当				副担当1				副担当2				副担当3				副担当4				副担当5				副担当6				研究分野1		研究分野2		研究分野3		研究分野4		詳細サイト		研究者情報（STAR Search）						
					日本語（Webサイト表示用）		日本語（かな・50音順ソート用）			英語（Webサイト表示用）			担当系		担当コース		担当系		担当コース		担当系		担当コース		担当系		担当コース		担当系		担当コース		担当系		担当コース		担当系		担当コース		日本語	英語	日本語	英語	日本語	英語	日本語	英語	日本語	英語			教員名　半角カナ				
	管理サイト名	コード	職種名	系サイト職種コード	姓	名	種別	姓	名	種別	名	姓	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード									URL	URL	ＩＤ		姓	名			
1	機械系	015	教授	001	青木	尊之	あ	あおき	たかゆき	1	Takayuki	Aoki	機械系	015	機械コース	015	機械系	015	エネルギーコース	001																					数値流体シミュレーション	Computational fluid dynamics	気液二相流	Gas-liquid two-phase flows	高性能計算	High-performance computing	GPUコンピューティング	GPU computing	http://www.sim.gsic.titech.ac.jp/Japanese/Member/taoki.html	http://www.sim.gsic.titech.ac.jp/English/Member/taoki.html	key_rid=1000015852		ｱｵｷ	ﾀｶﾕｷ			
2	応用化学系	021	准教授	002	青木	才子	あ	あおき	さいこ	1	Saiko	Aoki	応用化学系	021	応用化学コース	021	応用化学系	021	エネルギーコース	001																					トライボロジー	Tribology	潤滑油の化学	Lubricant chemistry	表面改質	Surface modification	界面化学	Surface chemistry	http://www.chemeng.titech.ac.jp/~aokilab/index.html	http://www.chemeng.titech.ac.jp/~aokilab/index.html	key_rid=6000021706		ｱｵｷ	ｻｲｺ			
3	応用化学系	021	助教	004	赤松	範久	あ	あかまつ	のりひさ	1	Norihisa	Akamatsu	応用化学系	021	エネルギーコース	001																									高分子材料工学	Polymeric materials science and engineering							http://www.polymer.res.titech.ac.jp/	http://www.polymer.res.titech.ac.jp/english/	key_t2r2Rid=CTT100621934		ｱｶﾏﾂ	ﾉﾘﾋｻ			
4	融合理工学系	027	准教授	002	秋田	大輔	あ	あきた	だいすけ	1	Daisuke	Akita	融合理工学系	027	地球環境共創コース	027	融合理工学系	027	エンジニアリングデザインコース	002	融合理工学系	027	エネルギーコース	001																	航空宇宙システム	Aerospace systems	惑星探査システム	Planetary exploration system	空気力学	Aerodynamics			http://www.ide.titech.ac.jp/~akita/	http://www.ide.titech.ac.jp/~akita/	key_rid=6000021710		ｱｷﾀ	ﾀﾞｲｽｹ			
6	応用化学系	021	教授	001	荒井	創	あ	あらい	はじめ	1	Hajime	Arai	応用化学系	021	エネルギーコース	001	応用化学系	021	応用化学コース	021																					電気化学	Electrochemistry	物質科学	Material science	エネルギー蓄積デバイス	Energy storage device	蓄電池	Rechargeable battery	http://www.echem.titech.ac.jp/~arai/index.html	http://www.echem.titech.ac.jp/~arai/index.html	key_rid=7000008979		ｱﾗｲ	ﾊｼﾞﾒ			
1	イノベーション科学系・技術経営専門職学位課程	029	教授	001	池上	雅子	あ	いけがみ	まさこ	2	Masako	Ikegami	技術経営専門職学位課程	030			イノベーション科学系	029	イノベーション科学コース	029	融合理工学系	027	エネルギーコース	001																	科学技術と国際安全保障	"Science, technology and international security"	科学技術政策・意思決定分析	Science & technology policy and decision-making	軍備管理・核不拡散	Arms control & nuclear non-proliferation	核セキュリティ、技術移転と防衛	"Nuclear security, technology transfer and defence"	http://www.ikegami-lab.mot.titech.ac.jp/	http://www.ikegami-lab.mot.titech.ac.jp/	key_t2r2Rid=CTT100661134		ｲｹｶﾞﾐ	ﾏｻｺ			
9	応用化学系	021	助教	004	池澤	篤憲	あ	いけざわ	あつのり	2	Atsunori	Ikezawa	応用化学系	021	エネルギーコース	001																									電気化学	Electrochemistry	電気分析化学	Electroanalytical chemistry	二次電池	Secondary batteries	電気化学デバイス	Electrochemical devices	http://www.echem.titech.ac.jp/~arai/index.html		key_t2r2Rid=CTT100762906		ｲｹｻﾞﾜ	ｱﾂﾉﾘ			
7	化学系	013	助教	004	石川	忠彦	あ	いしかわ	ただひこ	2	Tadahiko	Ishikawa	化学系	013	エネルギーコース	001																									光物性	Optical properties of solid	光誘起相転移	Photoinduced phase transition	固体物性	Solid state physics	強相関系物質	Strongly correlated materials	http://www.cms.titech.ac.jp/~koshihara/	http://www.chemistry.titech.ac.jp/~koshihara/english2/index.html	key_rid=1000279265		ｲｼｶﾜ	ﾀﾀﾞﾋｺ			
8	材料系	020	准教授	002	石川	謙	あ	いしかわ	けん	2	Ken	Ishikawa	材料系	020	材料コース	020	材料系	020	エネルギーコース	001																					有機太陽電池	Organic solar cells	有機トランジスタ	Organic transistors	液晶	Liquid crystals	構造色材料	Structural color materials	http://www.op.titech.ac.jp/lab/Take-Ishi/	http://www.op.titech.ac.jp/lab/Take-Ishi/	key_rid=1000279012		ｲｼｶﾜ	ｹﾝ			
9	化学系	013	教授	001	石谷	治	あ	いしたに	おさむ	2	Osamu	Ishitani	化学系	013	エネルギーコース	001	化学系	013	化学コース	013																					光反応化学	Photochemical reaction	金属錯体の光機能	Photochemistry of metal complexes 	光触媒	Photocatalysts	人工光合成	Artificial photosynthesis	http://www.chemistry.titech.ac.jp/~ishitani/index.html	http://www.chemistry.titech.ac.jp/~ishitani/en/index_en.html	key_rid=5000039835		ｲｼﾀﾆ	ｵｻﾑ			
12	応用化学系	021	准教授	002	稲木	信介	あ	いなぎ	しんすけ	2	Shinsuke	Inagi	応用化学系	021	エネルギーコース	001	応用化学系	021	応用化学コース	021																					有機電解合成	Organic electrosynthesis	機能性高分子	Functional polymer	高分子合成	Polymer synthesis	電気化学デバイス	Electrochemical device	http://www.echem.titech.ac.jp/~inagi/index.html	http://www.echem.titech.ac.jp/~inagi/e-index.html	key_rid=B000226813		ｲﾅｷﾞ	ｼﾝｽｹ			
13	材料系	020	教授	001	稲邑	朋也	あ	いなむら	ともなり	2	Tomonari	Inamura	材料系	020	材料コース	020	材料系	020	エネルギーコース	001																					金属の相変態	Phase transformation in metals	結晶学	Crystallography	金属組織学	Metallography	形状記憶合金	Shape memory alloy	http://www.mater.pi.titech.ac.jp/	http://www.mater.pi.titech.ac.jp/	key_rid=5000065006		ｲﾅﾑﾗ	ﾄﾓﾅﾘ			
