■エネルギーコース　担当教員一覧													※技術経営専門職学位過程は「担当系」のみに入力																																											
																																																								
NO	管理サイト		職種		教員名								主担当				副担当1				副担当2				副担当3				副担当4				副担当5				副担当6				研究分野1		研究分野2		研究分野3		研究分野4		詳細サイト		研究者情報（STAR Search）					
					日本語（Webサイト表示用）		日本語（かな・50音順ソート用）			英語（Webサイト表示用）			担当系		担当コース		担当系		担当コース		担当系		担当コース		担当系		担当コース		担当系		担当コース		担当系		担当コース		担当系		担当コース		日本語	英語	日本語	英語	日本語	英語	日本語	英語	日本語	英語			教員名　半角カナ			
	管理サイト名	コード	職種名	系サイト職種コード	姓	名	種別	姓	名	種別	名	姓	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード									URL	URL	ＩＤ		姓	名	キャンパス	居所
1	機械系	15	教授	1	青木	尊之	あ	あおき	たかゆき	1	Takayuki	Aoki	機械系	15	機械コース	15	機械系	15	エネルギーコース	1																					数値流体シミュレーション	Computational fluid dynamics	気液二相流	Gas-liquid two-phase flows	高性能計算	High-performance computing	GPUコンピューティング	GPU computing	http://www.sim.gsic.titech.ac.jp/Japanese/Member/taoki.html	http://www.sim.gsic.titech.ac.jp/English/Member/taoki.html	key_rid=1000015852		ｱｵｷ	ﾀｶﾕｷ	大岡山	学国情セ(国際)301
2	応用化学系	21	准教授	2	青木	才子	あ	あおき	さいこ	1	Saiko	Aoki	応用化学系	21	応用化学コース	21	応用化学系	21	エネルギーコース	1																					トライボロジー	Tribology	潤滑油の化学	Lubricant chemistry	表面改質	Surface modification	界面化学	Surface chemistry	http://www.chemeng.titech.ac.jp/~aokilab/index.html	http://www.chemeng.titech.ac.jp/~aokilab/index.html	key_rid=6000021706		ｱｵｷ	ｻｲｺ	大岡山	南1-424
3	応用化学系	21	助教	4	赤松	範久	あ	あかまつ	のりひさ	1	Norihisa	Akamatsu	応用化学系	21	エネルギーコース	1																									高分子材料工学	Polymeric materials science and engineering							http://www.polymer.res.titech.ac.jp/	http://www.polymer.res.titech.ac.jp/english/	key_t2r2Rid=CTT100621934		ｱｶﾏﾂ	ﾉﾘﾋｻ	すずかけ	R1-12
4	融合理工学系	27	准教授	2	秋田	大輔	あ	あきた	だいすけ	1	Daisuke	Akita	融合理工学系	27	地球環境共創コース	27	融合理工学系	27	エンジニアリングデザインコース	2	融合理工学系	27	エネルギーコース	1																	航空宇宙システム	Aerospace systems	惑星探査システム	Planetary exploration system	空気力学	Aerodynamics			http://www.ide.titech.ac.jp/~akita/	http://www.ide.titech.ac.jp/~akita/	key_rid=6000021710		ｱｷﾀ	ﾀﾞｲｽｹ	大岡山	"石川台
4-206"
5	応用化学系	21	教授	1	荒井	創	あ	あらい	はじめ	1	Hajime	Arai	応用化学系	21	エネルギーコース	1	応用化学系	21	応用化学コース	21																					電気化学	Electrochemistry	物質科学	Material science	エネルギー蓄積デバイス	Energy storage device	蓄電池	Rechargeable battery	http://www.echem.titech.ac.jp/~arai/index.html	http://www.echem.titech.ac.jp/~arai/index.html	key_rid=7000008979		ｱﾗｲ	ﾊｼﾞﾒ	すずかけ	G1-912
6	応用化学系	21	助教	4	池澤	篤憲	あ	いけざわ	あつのり	2	Atsunori	Ikezawa	応用化学系	21	エネルギーコース	1																									電気化学	Electrochemistry	電気分析化学	Electroanalytical chemistry	二次電池	Secondary batteries	電気化学デバイス	Electrochemical devices	http://www.echem.titech.ac.jp/~arai/index.html		key_t2r2Rid=CTT100762906		ｲｹｻﾞﾜ	ｱﾂﾉﾘ	すずかけ	G1-918
7	化学系	13	助教	4	石川	忠彦	あ	いしかわ	ただひこ	2	Tadahiko	Ishikawa	化学系	13	エネルギーコース	1																									光物性	Optical properties of solid	光誘起相転移	Photoinduced phase transition	固体物性	Solid state physics	強相関系物質	Strongly correlated materials	http://www.cms.titech.ac.jp/~koshihara/	http://www.chemistry.titech.ac.jp/~koshihara/english2/index.html	key_rid=1000279265		ｲｼｶﾜ	ﾀﾀﾞﾋｺ	大岡山	本館1-30
8	材料系	20	准教授	2	石川	謙	あ	いしかわ	けん	2	Ken	Ishikawa	材料系	20	材料コース	20	材料系	20	エネルギーコース	1																					有機太陽電池	Organic solar cells	有機トランジスタ	Organic transistors	液晶	Liquid crystals	構造色材料	Structural color materials	http://www.op.titech.ac.jp/lab/Take-Ishi/	http://www.op.titech.ac.jp/lab/Take-Ishi/	key_rid=1000279012		ｲｼｶﾜ	ｹﾝ	大岡山	南8-717
